Algorithm,Sequential,OpenMP,MPI,OpenMP_Speedup,MPI_Speedup
gaussian_1024,0.0123238,0.00536159,0.00627491,2.29853,1.96398
edge_1024,0.0121849,0.00333661,0.00491654,3.65188,2.47835
histogram_1024,0.0017495,0.00114184,0.00152848,1.53217,1.1446
otsu_1024,0.00160386,0.00133308,0.00152174,1.20312,1.05397
gaussian_2048,0.0359086,0.0212082,0.0170536,1.69314,2.10563
edge_2048,0.0455004,0.0182571,0.019609,2.4922,2.32038
histogram_2048,0.00801409,0.00711364,0.00831459,1.12658,0.963859
otsu_2048,0.00843339,0.00715358,0.00778776,1.1789,1.0829
gaussian_4096,0.142999,0.086197,0.0649048,1.65899,2.20322
edge_4096,0.178224,0.054499,0.0749958,3.27022,2.37645
histogram_4096,0.0339151,0.0297604,0.0347272,1.13961,0.976614
otsu_4096,0.0337086,0.030348,0.0329958,1.11074,1.0216
gaussian_8192,0.574533,0.393774,0.252421,1.45904,2.27609
edge_8192,0.713921,0.259132,0.295656,2.75505,2.41471
histogram_8192,0.139978,0.112016,0.137728,1.24963,1.01634
otsu_8192,0.134278,0.117868,0.133927,1.13922,1.00262
